Objective Description,Course Number,Skill Tags
Describe the role of space cyber and information operations as instruments of national power,Soc Sci 311,strategic_thinking|technology_awareness|geopolitical_analysis|systems_thinking|intelligence_literacy
Apply alliance theory to evaluate the credibility and cohesion of current U.S.-led alliances,Soc Sci 311,alliance_and_coalition_dynamics|deterrence_theory|geopolitical_analysis|evidence_evaluation|logical_structure_analysis
Analyze the strategic implications of nuclear proliferation and arms control regimes,Soc Sci 311,deterrence_theory|geopolitical_analysis|strategic_thinking|historical_context|threat_assessment
Develop and present a strategic analysis product suitable for a senior decision-maker,Soc Sci 311,oral_delivery|strategic_communication|written_mechanics|audience_adaptation|logical_organization
Evaluate the interplay of domestic political constraints and international security commitments,Soc Sci 311,civil_military_relations|geopolitical_analysis|systems_thinking|global_interconnectedness|logical_structure_analysis
Describe the history and strategic implications of the global commons sea air space and cyber,Soc Sci 311,historical_context|strategic_thinking|geopolitical_analysis|global_interconnectedness|narrative_and_meaning
Explain the theory of airpower and the historical development of air space and cyber power,MSS 251,strategic_thinking|historical_context|change_and_continuity|geopolitical_analysis|narrative_and_meaning
Describe the joint warfighting construct and the integration of multi-domain operations,MSS 251,alliance_and_coalition_dynamics|systems_thinking|organizational_design|strategic_thinking|logical_structure_analysis
Apply concepts of operational art to plan and analyze military operations,MSS 251,strategic_thinking|decision_framing|logical_structure_analysis|systems_thinking|requirements_analysis
Analyze the role of air space and cyber power across the range of military operations,MSS 251,strategic_thinking|geopolitical_analysis|systems_thinking|intelligence_literacy|historical_context
Explain national security strategy and how military power supports national interests and objectives,MSS 251,strategic_thinking|requirements_analysis|geopolitical_analysis|civil_military_relations|logical_structure_analysis
Engage in strategic and operational decision wargaming to apply military strategy concepts,MSS 251,decision_framing|strategic_thinking|team_dynamics|active_listening|perspective_taking
Produce written analysis of military strategy problems drawing on doctrine and theory,MSS 251,written_mechanics|argument_construction|logical_organization|evidence_evaluation|precision_of_language
Evaluate the effectiveness of military force as an instrument of policy in specific historical cases,MSS 251,evidence_evaluation|historical_context|logical_structure_analysis|inference_calibration|geopolitical_analysis
Describe the major air campaigns of World War II and their influence on airpower doctrine,MSS 251,historical_context|change_and_continuity|geopolitical_analysis|narrative_and_meaning|technology_awareness
Explain the evolution of space power from early reconnaissance satellites to modern multi-domain operations,MSS 251,historical_context|technology_awareness|change_and_continuity|systems_thinking|strategic_thinking
Analyze the role of air and space power in recent conflicts including operations in Iraq and Afghanistan,MSS 251,historical_context|geopolitical_analysis|evidence_evaluation|logical_structure_analysis|systems_thinking
Describe the principles and challenges of multi-domain command and control,MSS 251,organizational_design|systems_thinking|alliance_and_coalition_dynamics|logical_structure_analysis|decision_framing
Apply targeting theory and the joint targeting cycle to analyze operational planning scenarios,MSS 251,law_of_armed_conflict|decision_framing|logical_structure_analysis|professional_responsibility|requirements_analysis
Explain the role of intelligence surveillance and reconnaissance in enabling air and space operations,MSS 251,intelligence_literacy|threat_assessment|systems_thinking|technology_awareness|geopolitical_analysis
Evaluate the ethical and legal constraints on the application of airpower and lethal force,MSS 251,law_of_armed_conflict|professional_responsibility|moral_reasoning|ethical_theory_application|civil_military_relations
Describe the organizational structure and mission of the U.S. Space Force,MSS 251,organizational_design|commitment_to_service|professional_identity|strategic_thinking|logical_structure_analysis
Analyze how adversary anti-access area-denial strategies challenge U.S. airpower employment,MSS 251,threat_assessment|geopolitical_analysis|strategic_thinking|systems_thinking|logical_structure_analysis
Apply cost imposition theory to evaluate the effectiveness of airpower as a coercive instrument,MSS 251,deterrence_theory|resource_and_logistics_reasoning|strategic_thinking|geopolitical_analysis|trade_off_analysis
Demonstrate knowledge of the Uniform Code of Military Justice and Air Force standards of conduct,Mil Tng 100,professional_responsibility|oath_and_obligation|accountability|professional_identity|integrity_and_honesty
Perform basic military customs courtesies drill and manual of arms to standard,Mil Tng 100,physical_and_mental_discipline|core_values_internalization|accountability|professional_identity|commitment_to_service
Complete field encampment training and basic Air Force weapons familiarization,Mil Tng 100,physical_and_mental_discipline|resilience_under_adversity|commitment_to_service|team_dynamics|accountability
Articulate and begin to internalize the principles of living honorably in the profession of arms,Mil Tng 100,oath_and_obligation|integrity_and_honesty|core_values_internalization|values_clarification|professional_identity
Demonstrate perseverance and resilience when facing physical and mental challenges during BCT,Mil Tng 100,resilience_under_adversity|physical_and_mental_discipline|accountability|esprit_de_corps|commitment_to_service
Transition from civilian life to military culture understanding rank organization and service values,Mil Tng 100,commitment_to_service|professional_identity|cultural_literacy|organizational_design|values_clarification
Demonstrate basic land navigation skills including map reading and use of a compass,Mil Tng 100,quantitative_reasoning|visual_communication|decision_framing|technology_awareness
Explain the Air Force rank structure and chain of command from the unit to the national level,Mil Tng 100,organizational_design|commitment_to_service|logical_organization|systems_thinking|professional_identity
Apply principles of effective followership in support of assigned missions and supervisors,Mil Tng 100,commitment_to_service|accountability|interpersonal_influence|esprit_de_corps|values_clarification
Demonstrate physical fitness standards required for entry into the commissioned officer corps,Mil Tng 100,physical_and_mental_discipline|accountability|resilience_under_adversity|commitment_to_service
Describe the historical traditions and customs of the Air Force and the broader American military,Mil Tng 100,cultural_literacy|historical_context|narrative_and_meaning|professional_identity|commitment_to_service
Apply basic first aid and Tactical Combat Casualty Care skills in a field exercise context,Mil Tng 100,physical_and_mental_discipline|commitment_to_service|resilience_under_adversity|professional_responsibility|interdisciplinary_transfer
Demonstrate a basic understanding of mission planning and execution principles,Mil Tng 100,decision_framing|commitment_to_service|organizational_design|systems_thinking|logical_organization
Recognize and respond appropriately to situations requiring reporting of ethical violations,Mil Tng 100,moral_courage|integrity_and_honesty|professional_responsibility|accountability|values_clarification
Explain the roles and relationships among the military services and the joint force,Mil Tng 100,alliance_and_coalition_dynamics|organizational_design|systems_thinking|professional_identity|logical_structure_analysis
Apply time management and personal organization skills in a structured military training environment,Mil Tng 100,self_leadership|physical_and_mental_discipline|accountability|resource_stewardship|organizational_design
Describe the commissioning process and the expectations for new officers in the Air and Space Forces,Mil Tng 100,professional_identity|oath_and_obligation|commitment_to_service|organizational_design|values_clarification
Demonstrate the ability to work effectively in a diverse team under physical and mental stress,Mil Tng 100,team_dynamics|resilience_under_adversity|esprit_de_corps|identity_and_diversity|accountability
Demonstrate knowledge of pre-commissioning education requirements per DAFI 36-2614,CE 100,professional_responsibility|oath_and_obligation|accountability|professional_identity|commitment_to_service
Explain foundational officer professional military education content,CE 100,professional_identity|commitment_to_service|logical_structure_analysis|organizational_design
Score at or above 75% on open-book assessments of commissioning knowledge,CE 100,accountability|professional_responsibility|self_leadership|commitment_to_service
Integrate commissioning knowledge with leadership and character education,CE 100,self_leadership|commitment_to_service|values_clarification|metacognitive_awareness|professional_identity
Explain the commissioning oath and the legal and moral obligations it creates,CE 100,oath_and_obligation|rights_and_duties|moral_reasoning|professional_responsibility|values_clarification
Describe the structure and mission of the Air and Space Forces and their roles in the joint force,CE 100,organizational_design|commitment_to_service|logical_structure_analysis|alliance_and_coalition_dynamics|professional_identity
Apply Air Force core values to analyze officer conduct scenarios,CE 100,core_values_internalization|professional_identity|values_clarification|moral_reasoning|ethical_theory_application
Demonstrate knowledge of Air Force officer professional standards as defined in AFI 36-2618,CE 100,professional_responsibility|professional_identity|accountability|oath_and_obligation
Explain the content and purpose of joint professional military education across officer careers,CE 100,professional_identity|alliance_and_coalition_dynamics|self_leadership|commitment_to_service|change_and_continuity
Describe the role of the Air Force officer in supporting civilian control of the military,CE 100,civil_military_relations|professional_identity|oath_and_obligation|accountability|values_clarification
Identify the key milestones and responsibilities of a newly commissioned officer in the first assignment,CE 100,professional_identity|commitment_to_service|organizational_design|self_leadership|accountability
Evaluate the professional development expectations for officers across career stages,CE 100,self_leadership|professional_identity|change_and_continuity|metacognitive_awareness|organizational_design
Demonstrate understanding of military deference loyalty and the limits of lawful orders,CE 100,civil_military_relations|moral_courage|professional_responsibility|oath_and_obligation|integrity_and_honesty
Apply the precepts of the professional military ethic to personal leadership philosophy,CE 100,core_values_internalization|self_leadership|values_clarification|professional_identity|metacognitive_awareness
Explain the relationship between the commissioning curriculum and the demands of operational service,CE 100,commitment_to_service|professional_identity|interdisciplinary_transfer|organizational_design|historical_context
Produce a personal development plan linking commissioning knowledge to first-tour leadership goals,CE 100,self_leadership|organizational_design|written_mechanics|commitment_to_service|accountability
Demonstrate understanding of the responsibilities of an officer toward subordinates and peers,CE 100,mission_command|professional_identity|interpersonal_influence|integrity_and_honesty|accountability
Describe the process and significance of commissioning ceremonies and traditions,CE 100,cultural_literacy|oath_and_obligation|narrative_and_meaning|professional_identity|historical_context
Identify and compare major theoretical approaches to international relations including realism liberalism and constructivism,Soc Sci 212,strategic_thinking|geopolitical_analysis|logical_structure_analysis|assumption_identification
Explain how the structure and distribution of power in the international system shapes state behavior and foreign policy choices,Soc Sci 212,geopolitical_analysis|social_structures|inference_calibration
Apply international relations theory to explain the origins and dynamics of inter-state conflict and cooperation,Soc Sci 212,logical_structure_analysis|historical_context|evidence_evaluation
Analyze how state and non-state actors define and pursue security interests in an anarchic international system,Soc Sci 212,threat_assessment|geopolitical_analysis|strategic_thinking
Describe the concept of national interest and evaluate competing definitions of what constitutes core U.S. interests,Soc Sci 212,strategic_thinking|values_clarification|decision_framing
Evaluate the role of international institutions norms and law in enabling and constraining state behavior,Soc Sci 212,social_structures|rights_and_duties|global_interconnectedness
Explain the relationship between international political economy trade and national security strategy,Soc Sci 212,socio_economic_analysis|strategic_thinking|interdisciplinary_transfer
Analyze how economic interdependence and globalization shape patterns of cooperation and conflict between states,Soc Sci 212,socio_economic_analysis|global_interconnectedness|trade_off_analysis
Evaluate justice-based and normative critiques of the current international order from non-Western perspectives,Soc Sci 212,moral_reasoning|cross_cultural_ethics|perspective_taking
Apply security studies frameworks to assess the nature and severity of threats posed by state and nonstate actors,Soc Sci 212,threat_assessment|strategic_thinking|evidence_evaluation
Analyze the strategic implications of nuclear weapons proliferation and arms control regimes,Soc Sci 212,deterrence_theory|threat_assessment|geopolitical_analysis
Evaluate competing theoretical explanations for U.S. foreign and national security policy,Soc Sci 212,geopolitical_analysis|perspective_taking|inference_calibration
Describe the roles of international organizations such as the UN NATO and WTO in mediating great power relations,Soc Sci 212,global_interconnectedness|alliance_and_coalition_dynamics|social_structures
Evaluate the ethical and legal dimensions of humanitarian intervention and the responsibility to protect doctrine,Soc Sci 212,ethical_theory_application|moral_reasoning|rights_and_duties|law_of_armed_conflict
Apply balance-of-power and hegemonic stability theory to assess contemporary great power competition,Soc Sci 212,deterrence_theory|geopolitical_analysis|strategic_thinking
Explain democratic peace theory and evaluate its empirical support and policy implications,Soc Sci 212,logical_structure_analysis|evidence_evaluation|social_structures
Construct a structured theoretical analysis of a contemporary international security problem,Soc Sci 212,strategic_thinking|argument_construction|inference_calibration
Evaluate the national security implications of multipolarity and the relative decline of U.S. hegemony,Soc Sci 212,geopolitical_analysis|strategic_thinking|uncertainty_tolerance
Demonstrate knowledge of expanded Air Force officer responsibilities and professional standards at the third-class year level per DAFI 36-2614,CE 200,professional_responsibility|professional_identity|oath_and_obligation
Apply the Leader of Character Framework to evaluate interpersonal leadership decisions in the military context,CE 200,interpersonal_influence|self_leadership|core_values_internalization
Explain the ethical obligations of officers to lead subordinates with respect dignity and equity,CE 200,moral_reasoning|rights_and_duties|commitment_to_service
Apply major ethical frameworks to resolve dilemmas arising in officer-subordinate professional relationships,CE 200,ethical_theory_application|moral_reasoning|decision_framing
Describe Air Force legal and regulatory standards governing workplace climate sexual harassment and equal opportunity,CE 200,professional_responsibility|rights_and_duties|social_structures
Explain the officer's duty to maintain the welfare health and safety of assigned personnel,CE 200,professional_responsibility|rights_and_duties|commitment_to_service
Apply the concept of moral courage to scenarios requiring an officer to intervene against unethical behavior in a unit,CE 200,moral_courage|integrity_and_honesty|moral_reasoning
Describe the professional military ethic and explain how it governs conduct in officer-to-officer and officer-to-enlisted relationships,CE 200,professional_identity|core_values_internalization|integrity_and_honesty
Evaluate how Air Force core values of integrity service and excellence apply to everyday interpersonal leadership decisions,CE 200,core_values_internalization|values_clarification|integrity_and_honesty
Apply principles of dignity respect and inclusion to assess unit climate and identify areas for leader intervention,CE 200,rights_and_duties|cross_cultural_ethics|identity_and_diversity
Explain Air Force expectations for officer mentoring professional development and career counseling of subordinates,CE 200,interpersonal_influence|commitment_to_service|professional_responsibility
Describe legal and regulatory standards governing professional relationships officer conduct and fraternization,CE 200,professional_responsibility|integrity_and_honesty|law_of_armed_conflict
Apply UCMJ principles to evaluate the legal and ethical dimensions of officer misconduct scenarios,CE 200,law_of_armed_conflict|moral_reasoning|professional_responsibility
Explain the PME continuum and the intermediate-level commissioning education expected at the third-class year,CE 200,professional_identity|commitment_to_service|oath_and_obligation
Demonstrate knowledge of Air Force standards for performance counseling evaluation reports and subordinate development,CE 200,professional_responsibility|feedback_integration|interpersonal_influence
Evaluate scenarios involving competing obligations to mission institutional standards peers and individual subordinates,CE 200,values_clarification|moral_reasoning|uncertainty_tolerance
Recognize warning signs of toxic leadership and describe the officer's responsibility to report or address it,CE 200,moral_courage|integrity_and_honesty|accountability
Articulate a personal commitment to ethical leadership that integrates integrity service and excellence in interpersonal practice,CE 200,core_values_internalization|commitment_to_service|integrity_and_honesty
